23-18-15.625,"""Scanner enabled\r\n"""
23-20-33.547, 0 0 0 0 0 0 0 0
23-20-33.556,46 0 0 0 0 0 0 44
23-20-33.557,54 44 0 44 0 0 44 51
23-20-33.558,65 44 0 0 0 0 44 48
23-20-33.558,0 0 0 0 0 0 0 0
23-20-33.559,0 0 0 0 0 0 0 0
23-20-33.560,45 44 0 0 0 0 0 44
23-20-33.560,"46 0 0 ""4 50"""
23-20-33.561,"3 60"""
23-20-33.561,"7 51"""
23-20-33.562,"8 53"""
23-20-33.562,"1 46"""
23-20-33.563,"6 49"""
23-20-33.564,"2 46"""
23-20-33.570,"4 51"""
23-20-33.604, 0 0 0 0 0 0 0 0
23-20-33.604,46 0 0 0 0 0 0 0
23-20-33.605,55 44 0 44 0 0 44 50
23-20-33.605,65 44 0 0 0 0 44 50
23-20-33.606,0 0 0 0 0 0 0 0
23-20-33.606,0 0 65 0 0 0 0 0
23-20-33.607,45 44 0 0 0 0 0 44
23-20-33.607,"47 44 0""3 60"""
23-20-33.610,"1 46"""
23-20-33.610,"7 51"""
23-20-33.611,"8 51"""
23-20-33.611,"6 49"""
23-20-33.612,"4 51"""
23-20-33.613,"3 60"""
23-20-33.613,"1 46"""
23-20-33.615,"7 51"""
23-20-33.625, 0 0 0 0 0 51 0 0
23-20-33.628,0 0 0 0 0 0 0 0
23-20-33.628,0 44 0 44 0 0 44 51
23-20-33.629,0 0 0 0 0 0 44 54
23-20-33.632,0 0 0 0 0 0 0 0
23-20-33.633,0 0 0 44 0 0 0 0
23-20-33.633,0 0 0 0 0 0 0 44
23-20-33.634,"0 0 0 0 0 0 ""2 46"""
23-20-33.635,"6 49"""
23-20-33.636,"4 51"""
23-20-33.644,"3 60"""
23-20-33.646,"1 46"""
23-20-33.648,"7 51"""
23-20-33.649,"8 48"""
23-20-33.665, 0 0 0 0 0 51 0 0
23-20-33.666,0 0 0 0 0 44 0 0
23-20-33.666,0 0 0 0 0 0 44 0
23-20-33.668,0 0 44 0 0 0 44 0
23-20-33.669,0 0 0 0 0 0 0 0
23-20-33.669,0 0 62 44 0 0 0 0
23-20-33.670,0 0 44 0 0 0 0 0
23-20-33.671,"0 44 0 0 0 0 ""2 46"""
23-20-33.671,"6 49"""
23-20-33.672,"3 60"""
23-20-33.672,"4 51"""
23-20-33.680,"1 46"""
23-20-33.684,"7 51"""
23-20-33.689,"8 48"""
23-20-33.693,"2 46"""
23-20-33.706, 0 0 0 62 0 52 0 0
23-20-33.707,46 0 0 0 0 45 44 44
23-20-33.708,0 0 0 0 0 0 0 0
23-20-33.709,0 0 44 0 0 0 44 60
23-20-33.709,0 0 0 0 0 0 0 0
23-20-33.710,0 0 0 0 0 0 0 0
23-20-33.711,0 0 44 0 0 0 0 44
23-20-33.711,"0 0 0 0 0 ""1 46"""
23-20-33.712,"2 46"""
23-20-33.713,"4 51"""
23-20-33.720,"6 49"""
23-20-33.725,"8 48"""
23-20-33.725,"7 51"""
23-20-33.734,"1 46"""
23-20-33.746, 0 48 0 0 0 0 0 46
23-20-33.757,0 0 0 0 0 0 44 44
23-20-33.757,0 0 0 0 0 0 0 0
23-20-33.758,0 44 0 0 0 0 44 53
23-20-33.758,0 0 0 0 0 0 0 0
23-20-33.759,51 45 0 44 0 0 0 0
23-20-33.759,0 0 0 0 0 0 0 46
23-20-33.760,"0 0 0 0 0 ""2 46"""
23-20-33.760,"4 51"""
23-20-33.761,"8 47"""
23-20-33.761,"7 51"""
23-20-33.761,"6 49"""
23-20-33.767,"1 45"""
23-20-33.771,"2 46"""
23-20-33.794, 0 0 0 0 0 0 0 45
23-20-33.794,0 0 44 0 0 0 0 44
23-20-33.794,0 0 0 0 0 0 0 0
23-20-33.795,0 0 0 0 0 0 0 0
23-20-33.795,0 0 0 0 0 0 0 0
23-20-33.796,0 0 0 44 0 0 44 0
23-20-33.796,0 44 0 0 0 0 0 50
23-20-33.797,"0 0 0 0 0 0 0 ""8 48"""
23-20-33.798,"7 51"""
23-20-33.798,"6 49"""
23-20-33.804,"2 46"""
23-20-33.820,"4 51"""
23-20-33.826, 0 0 0 0 0 0 0 0
23-20-33.827,0 0 44 0 0 0 0 44
23-20-33.828,0 0 0 0 0 0 0 0
23-20-33.828,0 44 44 0 0 0 44 47
23-20-33.830,0 0 0 0 0 0 0 0
23-20-33.831,0 0 0 0 0 0 44 0
23-20-33.832,0 44 0 0 0 0 0 54
23-20-33.832,"0 0 0 0 0 0 ""1 46"""
23-20-33.833,"2 46"""
23-20-33.834,"6 48"""
23-20-33.834,"3 59"""
23-20-33.835,"4 51"""
23-20-33.844,"7 51"""
23-20-33.850,"8 48"""
23-20-33.853,"1 46"""
23-20-33.866, 0 0 0 0 0 0 0 0
23-20-33.867,0 0 0 0 0 0 0 0
23-20-33.867,0 0 0 0 0 0 0 0
