21-21-06.158000,----------------
21-22-15.712000,S 4 	RSSI: 46
21-22-15.720000,[R]: 0 
21-22-15.728000,[R]: 50 
21-22-15.732000,S 1 	RSSI: 49
21-22-15.738000,S 4 	RSSI: 46
21-22-15.749000,[R]: 50 
21-22-15.762000,S 4 	RSSI: 46
21-22-15.769000,[R]: 50 
21-22-15.783000,S 4 	RSSI: 46
21-22-15.790000,[R]: 50 
21-22-15.803000,S 4 	RSSI: 46
21-22-15.810000,[R]: 50 
21-22-15.824000,S 4 	RSSI: 46
21-22-15.832000,[R]: 50 
21-22-15.832000,S 1 	RSSI: 49
21-22-15.844000,S 4 	RSSI: 46
21-22-15.851000,[R]: 50 
21-22-15.864000,S 4 	RSSI: 46
21-22-15.872000,[R]: 50 
21-22-15.892000,[R]: 50 
21-22-15.896000,[R]: 0 
21-22-15.904000,[R]: 50 
21-22-15.914000,S 1 	RSSI: 49
21-22-15.921000,[R]: 0 
21-22-15.926000,S 1 	RSSI: 49
21-22-15.929000,[R]: 50 
21-22-15.946000,[R]: 0 
21-22-15.954000,[R]: 50 
21-22-15.972000,[R]: 0 
21-22-15.979000,[R]: 50 
21-22-15.996000,S 1 	RSSI: 49
21-22-15.999000,[R]: 50 
21-22-16.016000,S 1 	RSSI: 49
21-22-16.019000,[R]: 50 
21-22-16.037000,S 1 	RSSI: 49
21-22-16.040000,[R]: 50 
21-22-16.057000,S 1 	RSSI: 49
21-22-16.060000,[R]: 50 
21-22-16.081000,[R]: 50 
21-22-16.100000,[R]: 50 
21-22-16.118000,S 1 	RSSI: 49
21-22-16.121000,[R]: 50 
21-22-16.139000,S 1 	RSSI: 49
21-22-16.142000,[R]: 50 
21-22-16.160000,S 1 	RSSI: 49
21-22-16.162000,[R]: 50 
21-22-16.171000,[R]: 0 
21-22-16.179000,[R]: 50 
21-22-16.196000,[R]: 0 
21-22-16.203000,[R]: 50 
21-22-16.221000,S 1 	RSSI: 49
21-22-16.222000,[R]: 0 
21-22-16.228000,[R]: 50 
21-22-16.246000,S 1 	RSSI: 49
21-22-16.247000,S 3 	RSSI: 44
21-22-16.249000,[R]: 50 
