22-04-56.525000,"""Program init""" 
22-09-05.130000,[2] 76
22-09-05.131000,""""
22-09-05.134000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-05.136000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.139000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.143000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.146000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-05.149000,"""COUNT 1 1 2 1"
22-09-05.150000,[0] 59 68 78
22-09-05.152000,[1] 77 77
22-09-05.152000,[2] 75
22-09-05.153000,""""
22-09-05.155000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.158000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.160000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.163000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-05.166000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.168000,"""COUNT 1 1 1 2"
22-09-05.170000,[0] 58 0 0
22-09-05.171000,[1] 78 81
22-09-05.171000,[2] 74
22-09-05.172000,""""
22-09-05.174000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.176000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.179000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-05.182000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.185000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.188000,"""COUNT 2 1 1 1"
22-09-05.190000,[0] 58 68 77
22-09-05.191000,[1] 76 80
22-09-05.192000,[2] 79
22-09-05.192000,""""
22-09-05.194000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.197000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.206000,"""COUNT 0 0 1 1"
22-09-05.207000,[0] 0 67 76
22-09-05.208000,[1] 0 0
22-09-05.210000,[2] 77
22-09-05.210000,""""
22-09-05.212000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.215000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.218000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.221000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-05.227000,"""COUNT 1 1 1 1"
22-09-05.229000,[0] 58 66 74
22-09-05.231000,[1] 68 77
22-09-05.231000,[2] 76
22-09-05.232000,""""
22-09-05.234000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-05.238000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-05.247000,"""COUNT 0 0 1 1"
22-09-05.248000,[0] 0 67 73
22-09-05.249000,[1] 0 0
22-09-05.250000,[2] 73
22-09-05.250000,""""
22-09-05.253000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.255000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-05.266000,"""COUNT 0 0 1 1"
22-09-05.267000,[0] 0 0 0
22-09-05.268000,[1] 0 0
22-09-05.269000,[2] 70
22-09-05.269000,""""
22-09-05.272000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.275000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.283000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.286000,"""COUNT 0 0 2 1"
22-09-05.287000,[0] 0 0 0
22-09-05.288000,[1] 0 0
22-09-05.289000,[2] 72
22-09-05.289000,""""
22-09-05.292000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-05.300000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-05.303000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.306000,"""COUNT 0 0 1 2"
22-09-05.307000,[0] 0 67 0
22-09-05.308000,[1] 0 0
22-09-05.309000,[2] 76
22-09-05.309000,""""
22-09-05.315000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.319000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.325000,"""COUNT 0 0 1 1"
22-09-05.326000,[0] 0 0 0
22-09-05.327000,[1] 0 0
22-09-05.328000,[2] 78
22-09-05.328000,""""
22-09-05.331000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.335000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.345000,"""COUNT 0 0 1 1"
22-09-05.346000,[0] 0 0 0
22-09-05.347000,[1] 0 0
22-09-05.348000,[2] 76
22-09-05.348000,""""
22-09-05.351000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.354000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.356000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.360000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-05.367000,"""COUNT 1 1 1 1"
22-09-05.369000,[0] 58 69 72
22-09-05.370000,[1] 68 76
22-09-05.371000,[2] 75
22-09-05.371000,""""
22-09-05.374000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.377000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.381000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-05.387000,"""COUNT 0 1 1 1"
22-09-05.389000,[0] 58 68 75
22-09-05.390000,[1] 69 74
22-09-05.390000,[2] 73
22-09-05.391000,""""
22-09-05.393000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.396000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.399000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.402000,"""[RSP] Sensor: 1. RSSI: 58"""
22-09-05.407000,"""COUNT 1 1 1 1"
22-09-05.408000,[0] 0 0 0
22-09-05.409000,[1] 69 69
22-09-05.409000,[2] 78
22-09-05.410000,""""
22-09-05.413000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.415000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-05.418000,"""[RSP] Sensor: 4. RSSI: 81"""
22-09-05.422000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.425000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.429000,"""COUNT 1 2 1 1"
22-09-05.429000,[0] 58 68 75
22-09-05.430000,[1] 68 70
22-09-05.431000,[2] 79
22-09-05.432000,""""
22-09-05.434000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.438000,"""[RSP] Sensor: 4. RSSI: 82"""
22-09-05.441000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.443000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.446000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.449000,"""COUNT 1 1 2 1"
22-09-05.449000,[0] 58 67 0
22-09-05.451000,[1] 66 73
22-09-05.451000,[2] 80
22-09-05.452000,""""
22-09-05.454000,"""[RSP] Sensor: 4. RSSI: 81"""
22-09-05.458000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.460000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.464000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.467000,"""[RSP] Sensor: 4. RSSI: 81"""
22-09-05.469000,"""COUNT 1 1 1 2"
22-09-05.469000,[0] 60 68 0
22-09-05.471000,[1] 66 74
22-09-05.471000,[2] 84
22-09-05.471000,""""
22-09-05.474000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.477000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.480000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.483000,"""[RSP] Sensor: 4. RSSI: 81"""
22-09-05.486000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.489000,"""COUNT 2 1 1 1"
22-09-05.490000,[0] 58 68 77
22-09-05.491000,[1] 67 72
22-09-05.492000,[2] 82
22-09-05.492000,""""
22-09-05.495000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.499000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.508000,"""COUNT 0 1 1 0"
22-09-05.509000,[0] 58 68 0
22-09-05.510000,[1] 69 72
22-09-05.510000,[2] 80
22-09-05.511000,""""
22-09-05.514000,"""[RSP] Sensor: 1. RSSI: 58"""
22-09-05.517000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.520000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.522000,"""[RSP] Sensor: 4. RSSI: 81"""
22-09-05.527000,"""COUNT 1 1 1 1"
22-09-05.529000,[0] 58 68 80
22-09-05.530000,[1] 72 72
22-09-05.531000,[2] 87
22-09-05.532000,""""
22-09-05.534000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.536000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.539000,"""[RSP] Sensor: 4. RSSI: 82"""
22-09-05.543000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.547000,"""COUNT 1 1 1 1"
22-09-05.548000,[0] 0 0 0
22-09-05.549000,[1] 75 75
22-09-05.550000,[2] 84
22-09-05.550000,""""
22-09-05.552000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.555000,"""[RSP] Sensor: 4. RSSI: 83"""
22-09-05.558000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.563000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.568000,"""COUNT 1 1 1 1"
22-09-05.569000,[0] 58 68 77
22-09-05.570000,[1] 71 73
22-09-05.571000,[2] 76
22-09-05.573000,""""
22-09-05.574000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.577000,"""[RSP] Sensor: 4. RSSI: 82"""
22-09-05.580000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.583000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.586000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.588000,"""COUNT 1 1 2 1"
22-09-05.590000,[0] 58 67 76
22-09-05.591000,[1] 68 72
22-09-05.593000,[2] 74
22-09-05.593000,""""
22-09-05.594000,"""[RSP] Sensor: 4. RSSI: 83"""
22-09-05.597000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.600000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.603000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.606000,"""[RSP] Sensor: 4. RSSI: 82"""
22-09-05.608000,"""COUNT 1 1 1 2"
22-09-05.609000,[0] 58 67 0
22-09-05.610000,[1] 68 73
22-09-05.612000,[2] 76
22-09-05.613000,""""
22-09-05.614000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.617000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.620000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.623000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-05.626000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.628000,"""COUNT 2 1 1 1"
22-09-05.631000,[0] 58 67 0
22-09-05.632000,[1] 69 73
22-09-05.633000,[2] 81
22-09-05.633000,""""
22-09-05.635000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.638000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.640000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.644000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-05.649000,"""COUNT 1 1 1 1"
22-09-05.650000,[0] 58 67 75
22-09-05.651000,[1] 68 72
22-09-05.656000,[2] 82
22-09-05.657000,""""
22-09-05.658000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.659000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.661000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.664000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-05.669000,"""COUNT 1 1 1 1"
22-09-05.670000,[0] 58 68 76
22-09-05.671000,[1] 69 72
22-09-05.672000,[2] 74
22-09-05.672000,""""
22-09-05.675000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.678000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.681000,"""[RSP] Sensor: 4. RSSI: 78"""
22-09-05.684000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.688000,"""COUNT 1 1 1 1"
22-09-05.689000,[0] 58 0 0
22-09-05.690000,[1] 0 71
22-09-05.691000,[2] 71
22-09-05.691000,""""
22-09-05.693000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.695000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.698000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-05.701000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.704000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.708000,"""COUNT 1 2 1 1"
22-09-05.709000,[0] 58 68 80
22-09-05.711000,[1] 68 70
22-09-05.711000,[2] 70
22-09-05.712000,""""
22-09-05.714000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.718000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.721000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.723000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.726000,"""COUNT 1 1 2 0"
22-09-05.728000,[0] 58 68 0
22-09-05.729000,[1] 68 0
22-09-05.729000,[2] 0
22-09-05.730000,""""
22-09-05.733000,"""[RSP] Sensor: 4. RSSI: 81"""
22-09-05.735000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.738000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.741000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.744000,"""[RSP] Sensor: 4. RSSI: 82"""
22-09-05.748000,"""COUNT 1 1 1 2"
22-09-05.749000,[0] 58 68 0
22-09-05.750000,[1] 68 69
22-09-05.751000,[2] 71
22-09-05.751000,""""
22-09-05.754000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.756000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.759000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.763000,"""[RSP] Sensor: 4. RSSI: 83"""
22-09-05.765000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.768000,"""COUNT 2 1 1 1"
22-09-05.769000,[0] 59 68 0
22-09-05.770000,[1] 68 70
22-09-05.771000,[2] 71
22-09-05.772000,""""
22-09-05.774000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.777000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.780000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.783000,"""[RSP] Sensor: 4. RSSI: 84"""
22-09-05.788000,"""COUNT 1 1 1 1"
22-09-05.789000,[0] 58 68 72
22-09-05.790000,[1] 68 70
22-09-05.791000,[2] 73
22-09-05.791000,""""
22-09-05.794000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.797000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.803000,"""[RSP] Sensor: 4. RSSI: 84"""
22-09-05.807000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.808000,"""COUNT 1 1 1 1"
22-09-05.810000,[0] 58 68 71
22-09-05.811000,[1] 68 0
22-09-05.814000,[2] 73
22-09-05.816000,""""
22-09-05.817000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.817000,"""[RSP] Sensor: 4. RSSI: 84"""
22-09-05.819000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.822000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.827000,"""COUNT 1 1 1 1"
22-09-05.829000,[0] 58 0 71
22-09-05.873000,[1] 70 71
22-09-05.873000,[2] 70
22-09-05.874000,""""
22-09-05.874000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.928000,"""[RSP] Sensor: 4. RSSI: 84"""
22-09-05.928000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.929000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.929000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.930000,"""COUNT 1 1 2 1"
22-09-05.930000,[0] 58 67 0
22-09-05.931000,[1] 69 74
22-09-05.931000,[2] 69
22-09-05.931000,""""
22-09-05.932000,"""[RSP] Sensor: 4. RSSI: 84"""
22-09-05.932000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.933000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.935000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.935000,"""[RSP] Sensor: 4. RSSI: 84"""
22-09-05.936000,"""COUNT 1 1 1 2"
22-09-05.936000,[0] 58 0 0
22-09-05.937000,[1] 70 0
22-09-05.937000,[2] 68
22-09-05.937000,""""
22-09-05.938000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.938000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.939000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.939000,"""[RSP] Sensor: 4. RSSI: 84"""
22-09-05.940000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.940000,"""COUNT 2 1 1 1"
22-09-05.940000,[0] 58 68 71
22-09-05.941000,[1] 69 82
22-09-05.941000,[2] 67
22-09-05.942000,""""
22-09-05.942000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.942000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-05.946000,"""[RSP] Sensor: 4. RSSI: 85"""
22-09-05.946000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.947000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.947000,"""COUNT 1 2 1 1"
22-09-05.948000,[0] 58 68 0
22-09-05.948000,[1] 69 83
22-09-05.949000,[2] 67
22-09-05.949000,""""
22-09-05.949000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-05.950000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-05.950000,"""[RSP] Sensor: 4. RSSI: 85"""
22-09-05.951000,"""COUNT 1 1 0 1"
22-09-05.951000,[0] 58 0 71
22-09-05.999000,[1] 0 83
22-09-06.000000,[2] 0
22-09-06.000000,""""
22-09-06.001000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.001000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.002000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.002000,"""[RSP] Sensor: 4. RSSI: 86"""
22-09-06.003000,"""COUNT 1 1 1 1"
22-09-06.003000,[0] 58 68 72
22-09-06.004000,[1] 0 79
22-09-06.004000,[2] 67
22-09-06.004000,""""
22-09-06.005000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.005000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.006000,"""[RSP] Sensor: 4. RSSI: 86"""
22-09-06.007000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.007000,"""COUNT 1 1 1 1"
22-09-06.011000,[0] 0 0 72
22-09-06.012000,[1] 74 76
22-09-06.012000,[2] 68
22-09-06.014000,""""
22-09-06.015000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.015000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.016000,"""[RSP] Sensor: 4. RSSI: 86"""
22-09-06.016000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.017000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.018000,"""COUNT 1 2 1 1"
22-09-06.018000,[0] 58 69 72
22-09-06.018000,[1] 68 0
22-09-06.021000,[2] 68
22-09-06.022000,""""
22-09-06.022000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.023000,"""[RSP] Sensor: 4. RSSI: 86"""
22-09-06.023000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.024000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.024000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.025000,"""COUNT 1 1 2 1"
22-09-06.025000,[0] 58 69 0
22-09-06.026000,[1] 68 0
22-09-06.026000,[2] 68
22-09-06.027000,""""
22-09-06.027000,"""[RSP] Sensor: 4. RSSI: 85"""
22-09-06.028000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.028000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.028000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.029000,"""[RSP] Sensor: 4. RSSI: 84"""
22-09-06.030000,"""COUNT 1 1 1 2"
22-09-06.034000,[0] 58 0 71
22-09-06.034000,[1] 67 0
22-09-06.034000,[2] 69
22-09-06.035000,""""
22-09-06.035000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.037000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.040000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.043000,"""[RSP] Sensor: 4. RSSI: 85"""
22-09-06.046000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.049000,"""COUNT 2 1 1 1"
22-09-06.050000,[0] 58 68 0
22-09-06.051000,[1] 68 77
22-09-06.052000,[2] 69
22-09-06.053000,""""
22-09-06.055000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.058000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.061000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.064000,"""[RSP] Sensor: 4. RSSI: 87"""
22-09-06.068000,"""COUNT 1 1 1 1"
22-09-06.069000,[0] 58 68 72
22-09-06.070000,[1] 66 71
22-09-06.071000,[2] 69
22-09-06.071000,""""
22-09-06.074000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.077000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.079000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.083000,"""[RSP] Sensor: 4. RSSI: 87"""
22-09-06.088000,"""COUNT 1 1 1 1"
22-09-06.089000,[0] 58 68 72
22-09-06.090000,[1] 66 68
22-09-06.091000,[2] 70
22-09-06.091000,""""
22-09-06.094000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.097000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.102000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.105000,"""COUNT 1 1 1 0"
22-09-06.106000,[0] 0 0 0
22-09-06.107000,[1] 0 0
22-09-06.108000,[2] 69
22-09-06.108000,""""
22-09-06.111000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.114000,"""[RSP] Sensor: 4. RSSI: 85"""
22-09-06.117000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.122000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.127000,"""COUNT 1 1 1 1"
22-09-06.129000,[0] 58 69 72
22-09-06.130000,[1] 68 73
22-09-06.131000,[2] 68
22-09-06.132000,""""
22-09-06.134000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.137000,"""[RSP] Sensor: 4. RSSI: 87"""
22-09-06.139000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.143000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.145000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.148000,"""COUNT 1 1 2 1"
22-09-06.149000,[0] 58 69 0
22-09-06.150000,[1] 68 75
22-09-06.151000,[2] 68
22-09-06.153000,""""
22-09-06.154000,"""[RSP] Sensor: 4. RSSI: 91"""
22-09-06.157000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.160000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.163000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-06.166000,"""[RSP] Sensor: 4. RSSI: 90"""
22-09-06.168000,"""COUNT 1 1 1 2"
22-09-06.169000,[0] 58 68 0
22-09-06.170000,[1] 73 76
22-09-06.171000,[2] 69
22-09-06.172000,""""
22-09-06.174000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.177000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.179000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.183000,"""[RSP] Sensor: 4. RSSI: 85"""
22-09-06.185000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.188000,"""COUNT 2 1 1 1"
22-09-06.190000,[0] 58 68 75
22-09-06.191000,[1] 68 73
22-09-06.192000,[2] 68
22-09-06.192000,""""
22-09-06.195000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.197000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-06.200000,"""[RSP] Sensor: 4. RSSI: 82"""
22-09-06.203000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.209000,"""COUNT 1 1 1 1"
22-09-06.209000,[0] 58 68 83
22-09-06.210000,[1] 68 71
22-09-06.211000,[2] 68
22-09-06.211000,""""
22-09-06.214000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.217000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.220000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.223000,"""[RSP] Sensor: 4. RSSI: 82"""
22-09-06.227000,"""COUNT 1 1 1 1"
22-09-06.229000,[0] 58 68 73
22-09-06.231000,[1] 66 0
22-09-06.231000,[2] 68
22-09-06.232000,""""
22-09-06.235000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.236000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.239000,"""[RSP] Sensor: 4. RSSI: 87"""
22-09-06.242000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.246000,"""COUNT 1 1 1 1"
22-09-06.248000,[0] 0 0 70
22-09-06.249000,[1] 66 0
22-09-06.250000,[2] 69
22-09-06.251000,""""
22-09-06.252000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.255000,"""[RSP] Sensor: 4. RSSI: 84"""
22-09-06.258000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.262000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.268000,"""COUNT 1 1 1 1"
22-09-06.270000,[0] 58 68 70
22-09-06.270000,[1] 66 67
22-09-06.271000,[2] 70
22-09-06.272000,""""
22-09-06.274000,"""[RSP] Sensor: 3. RSSI: 70"""
22-09-06.277000,"""[RSP] Sensor: 4. RSSI: 79"""
22-09-06.280000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.284000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.287000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.289000,"""COUNT 1 1 2 1"
22-09-06.290000,[0] 58 68 0
22-09-06.291000,[1] 68 65
22-09-06.291000,[2] 66
22-09-06.292000,""""
22-09-06.295000,"""[RSP] Sensor: 4. RSSI: 77"""
22-09-06.298000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.300000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.304000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.306000,"""[RSP] Sensor: 4. RSSI: 80"""
22-09-06.308000,"""COUNT 1 1 1 2"
22-09-06.310000,[0] 58 0 0
22-09-06.311000,[1] 68 74
22-09-06.311000,[2] 63
22-09-06.312000,""""
22-09-06.315000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.317000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.319000,"""[RSP] Sensor: 3. RSSI: 71"""
22-09-06.323000,"""[RSP] Sensor: 4. RSSI: 91"""
22-09-06.325000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.328000,"""COUNT 2 1 1 1"
22-09-06.329000,[0] 58 69 0
22-09-06.331000,[1] 69 69
22-09-06.332000,[2] 61
22-09-06.332000,""""
22-09-06.335000,"""[RSP] Sensor: 1. RSSI: 59"""
22-09-06.338000,"""[RSP] Sensor: 2. RSSI: 60"""
22-09-06.341000,"""[RSP] Sensor: 4. RSSI: 86"""
22-09-06.346000,"""COUNT 1 1 0 1"
22-09-06.348000,[0] 58 0 68
22-09-06.349000,[1] 0 63
