20-54-18.046000,S 1 	RSSI: 65
20-54-18.049000,[R]: 51 
20-54-18.066000,S 1 	RSSI: 65
20-54-18.069000,[R]: 51 
20-54-18.087000,S 1 	RSSI: 65
20-54-18.092000,[R]: 51 
20-54-18.108000,S 1 	RSSI: 65
20-54-18.111000,[R]: 51 
20-54-18.131000,[R]: 51 
20-54-18.148000,S 1 	RSSI: 65
20-54-18.152000,[R]: 51 
20-54-18.169000,S 1 	RSSI: 65
20-54-18.172000,[R]: 51 
20-54-18.190000,S 1 	RSSI: 65
20-54-18.193000,[R]: 51 
20-54-18.205000,[R]: 51 
20-54-18.230000,[R]: 51 
20-54-18.254000,[R]: 51 
20-54-18.267000,S 1 	RSSI: 64
20-54-18.274000,[R]: 51 
20-54-18.299000,[R]: 51 
20-54-18.430000,[R]: 51 
20-54-18.454000,[R]: 51 
20-54-18.479000,[R]: 51 
20-54-18.499000,[R]: 51 
20-54-18.513000,S 1 	RSSI: 64
20-54-18.520000,[R]: 51 
20-54-18.539000,S 4 	RSSI: 44
20-54-18.542000,[R]: 51 
20-54-18.560000,S 3 	RSSI: 51
20-54-18.563000,[R]: 51 
